id_tps	name	sex	set	nat	age	weight	height	attractiveness	fem_masc	L	a	b 	R1	L1	R2	L2	R3	L3	laterality
153M] 18	153M	M	CMR16	CMR	20	60.5	169	2.529411765	5.425531915	42.29233333	14.64266667	12.61333333	324.3873	254.3677	349.6703	263.5396	314.1056	276.9633	R
154M] 22	154M	M	CMR16	CMR	20	67.9	176	3.294117647	5.138297872	41.177	13.11133333	10.625	422.3773	395.0754	412.3096	401.3461	405.5978	384.5665	R
155M] 23	155M	M	CMR16	CMR	23	79.5	182	3.411764706	5.925531915	32.97366667	9.305	5.247666667	478.746	525.5015	531.3176	505.8073	476.9544	460.8434	R
156M] 25	156M	M	CMR16	CMR	20	64.1	174.5	3.705882353	6.29787234	35.202	9.163333333	6.462	376.7316	376.9588	354.1493	335.3508	321.486	361.5297	R
157M] 27	157M	M	CMR16	CMR	18	81.6	177	2.941176471	6.085106383	32.12566667	8.71	6.684	468.9056	503.1332	392.8426	522.1456	457.942	487.6907	R
159M] 26	159M	M	CMR16	CMR	18	60.8	173.5	4.647058824	3.829787234	40.746	14.902	13.91533333	310.7497	303.3694	323.4915	293.3016	300.2274	257.9509	R
160M] 29	160M	M	CMR16	CMR	23	62.5	173.5	3.549019608	5.904255319	34.46133333	9.91	6.900333333	365.7814	282.5654	310.7497	279.4234	293.0743	274.7305	R
161M] 33	161M	M	CMR16	CMR	22	65.9	171	4.666666667	5.404255319	39.67466667	12.683	12.14166667	281.4423	300.0135	301.5778	284.1297	289.9457	250.1293	R
162M] 32	162M	M	CMR16	CMR	21	68.6	175.5	3.882352941	5	42.97566667	15.337	14.80966667	378.0819	398.6586	368.0142	412.3096	418.1256	394.1796	R
163M] 35	163M	M	CMR16	CMR	21	65.6	177	2.470588235	5.191489362	37.82566667	13.681	11.384	376.9588	314.3196	358.3877	322.823	377.4134	300.682	R
164M] 34	164M	M	CMR16	CMR	24	69.5	172	2.725490196	6.010638298	34.06166667	9.974	6.226333333	474.267	510.5136	444.2911	442.7268	454.8134	400.223	R
165M] 50	165M	M	CMR16	CMR	23	72	171	2.509803922	6.340425532	29.506	8.532333333	5.546	584.9988	490.1508	572.2571	442.4995	545.851	463.0895	R
166M] 31	166M	M	CMR16	CMR	20	78.3	180.5	4.31372549	5.5	38.15866667	12.95133333	10.21133333	460.1748	463.0895	400.8915	352.7989	470.6972	434.2233	R
179M] 36	179M	M	CMR16	CMR	20	67.2	167.5	2.843137255	4.723404255	37.362	11.62133333	10.86466667	376.063	360.8612	368.91	318.5713	373.3756	339.3753	R
180M] 37	180M	M	CMR16	CMR	24	61.6	165	2.470588235	6.191489362	36.55433333	12.22266667	8.805	272.9388	250.1293	310.2951	305.1476	292.847	279.878	R
181M] 41	181M	M	CMR16	CMR	23	73.9	176.5	2.960784314	5.829787234	35.824	10.485	7.674666667	340.2711	437.138	355.9276	398.2174	406.9348	412.7508	R
182M] 40	182M	M	CMR16	CMR	23	57	165	2.078431373	5.255319149	40.94433333	12.58666667	12.937	293.7428	276.7494	331.5537	256.6139	324.6146	291.51	R
183M] 39	183M	M	CMR16	CMR	27	75	176	3.352941176	6.170212766	36.516	10.25133333	7.063666667	297.3261	332.6634	315.0014	298.6631	319.4671	323.9461	R
184M] 38	184M	M	CMR16	CMR	22	58.8	168	2.607843137	5.404255319	37.68666667	13.61533333	11.09233333	187.49	209.631	215.4471	208.5213	223.0547	201.8095	R
186M] 42	186M	M	CMR16	CMR	22	75.6	179	3.549019608	4.787234043	32.96	8.614333333	6.326666667	292.847	333.3453	280.3192	289.2772	260.8656	271.1472	R
